# COSI coordinate transformer output
# OSI2 magnet V2.1
# Date,240822
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
-0.01000,-0.08000,-0.08000,-0.04901,-0.00193,0.00096
-0.00000,-0.08000,-0.08000,-0.04900,-0.00199,0.00098
0.01000,-0.08000,-0.08000,-0.04898,-0.00206,0.00101
0.02000,-0.08000,-0.08000,-0.04897,-0.00214,0.00105
0.03000,-0.08000,-0.08000,-0.04896,-0.00219,0.00109
0.04000,-0.08000,-0.08000,-0.04894,-0.00223,0.00115
0.05000,-0.07000,-0.08000,-0.04873,-0.00238,0.00134
0.04000,-0.07000,-0.08000,-0.04878,-0.00231,0.00125
0.03000,-0.07000,-0.08000,-0.04882,-0.00224,0.00118
0.02000,-0.07000,-0.08000,-0.04885,-0.00216,0.00111
0.01000,-0.07000,-0.08000,-0.04887,-0.00208,0.00108
-0.00000,-0.07000,-0.08000,-0.04889,-0.00201,0.00105
-0.01000,-0.07000,-0.08000,-0.04890,-0.00193,0.00102
-0.02000,-0.07000,-0.08000,-0.04890,-0.00184,0.00101
-0.03000,-0.07000,-0.08000,-0.04890,-0.00178,0.00101
-0.04000,-0.07000,-0.08000,-0.04888,-0.00169,0.00101
-0.05000,-0.07000,-0.08000,-0.04885,-0.00161,0.00104
-0.06000,-0.06000,-0.08000,-0.04864,-0.00147,0.00110
-0.05000,-0.06000,-0.08000,-0.04870,-0.00156,0.00106
-0.04000,-0.06000,-0.08000,-0.04874,-0.00164,0.00104
-0.03000,-0.06000,-0.08000,-0.04877,-0.00174,0.00102
-0.02000,-0.06000,-0.08000,-0.04878,-0.00184,0.00102
-0.01000,-0.06000,-0.08000,-0.04878,-0.00194,0.00103
-0.00000,-0.06000,-0.08000,-0.04877,-0.00202,0.00104
0.01000,-0.06000,-0.08000,-0.04875,-0.00210,0.00108
0.02000,-0.06000,-0.08000,-0.04872,-0.00218,0.00112
0.03000,-0.06000,-0.08000,-0.04867,-0.00228,0.00118
0.04000,-0.06000,-0.08000,-0.04862,-0.00237,0.00124
0.05000,-0.06000,-0.08000,-0.04854,-0.00245,0.00131
0.06000,-0.06000,-0.08000,-0.04844,-0.00257,0.00139
0.07000,-0.05000,-0.08000,-0.04820,-0.00272,0.00132
0.06000,-0.05000,-0.08000,-0.04831,-0.00261,0.00129
0.05000,-0.05000,-0.08000,-0.04840,-0.00249,0.00125
0.04000,-0.05000,-0.08000,-0.04848,-0.00240,0.00119
0.03000,-0.05000,-0.08000,-0.04854,-0.00231,0.00115
0.02000,-0.05000,-0.08000,-0.04859,-0.00221,0.00110
0.01000,-0.05000,-0.08000,-0.04864,-0.00212,0.00106
-0.00000,-0.05000,-0.08000,-0.04866,-0.00201,0.00103
-0.01000,-0.05000,-0.08000,-0.04868,-0.00191,0.00101
-0.02000,-0.05000,-0.08000,-0.04867,-0.00182,0.00099
-0.03000,-0.05000,-0.08000,-0.04865,-0.00172,0.00100
-0.04000,-0.05000,-0.08000,-0.04861,-0.00161,0.00100
-0.05000,-0.05000,-0.08000,-0.04856,-0.00151,0.00102
-0.06000,-0.05000,-0.08000,-0.04850,-0.00141,0.00104
-0.07000,-0.05000,-0.08000,-0.04842,-0.00131,0.00105
-0.08000,-0.04000,-0.08000,-0.04823,-0.00117,0.00100
-0.07000,-0.04000,-0.08000,-0.04831,-0.00129,0.00099
-0.06000,-0.04000,-0.08000,-0.04838,-0.00138,0.00097
-0.05000,-0.04000,-0.08000,-0.04845,-0.00148,0.00096
-0.04000,-0.04000,-0.08000,-0.04851,-0.00160,0.00097
-0.03000,-0.04000,-0.08000,-0.04854,-0.00169,0.00095
-0.02000,-0.04000,-0.08000,-0.04857,-0.00181,0.00096
-0.01000,-0.04000,-0.08000,-0.04857,-0.00191,0.00097
-0.00000,-0.04000,-0.08000,-0.04856,-0.00203,0.00098
0.01000,-0.04000,-0.08000,-0.04854,-0.00213,0.00102
0.02000,-0.04000,-0.08000,-0.04849,-0.00225,0.00106
0.03000,-0.04000,-0.08000,-0.04843,-0.00234,0.00109
0.04000,-0.04000,-0.08000,-0.04837,-0.00244,0.00115
0.05000,-0.04000,-0.08000,-0.04829,-0.00253,0.00119
0.06000,-0.04000,-0.08000,-0.04820,-0.00263,0.00124
0.07000,-0.04000,-0.08000,-0.04811,-0.00273,0.00128
0.08000,-0.04000,-0.08000,-0.04804,-0.00281,0.00133
0.08000,-0.03000,-0.08000,-0.04788,-0.00291,0.00134
0.07000,-0.03000,-0.08000,-0.04799,-0.00278,0.00124
0.06000,-0.03000,-0.08000,-0.04809,-0.00267,0.00119
0.05000,-0.03000,-0.08000,-0.04818,-0.00256,0.00112
0.04000,-0.03000,-0.08000,-0.04826,-0.00246,0.00107
0.03000,-0.03000,-0.08000,-0.04834,-0.00236,0.00104
0.02000,-0.03000,-0.08000,-0.04840,-0.00226,0.00099
0.01000,-0.03000,-0.08000,-0.04845,-0.00215,0.00096
-0.00000,-0.03000,-0.08000,-0.04848,-0.00204,0.00093
-0.01000,-0.03000,-0.08000,-0.04849,-0.00190,0.00091
-0.02000,-0.03000,-0.08000,-0.04848,-0.00181,0.00090
-0.03000,-0.03000,-0.08000,-0.04846,-0.00168,0.00090
-0.04000,-0.03000,-0.08000,-0.04841,-0.00156,0.00090
-0.05000,-0.03000,-0.08000,-0.04835,-0.00146,0.00089
-0.06000,-0.03000,-0.08000,-0.04827,-0.00134,0.00091
-0.07000,-0.03000,-0.08000,-0.04820,-0.00124,0.00092
-0.08000,-0.03000,-0.08000,-0.04810,-0.00113,0.00096
-0.08000,-0.02000,-0.08000,-0.04800,-0.00107,0.00083
-0.07000,-0.02000,-0.08000,-0.04810,-0.00120,0.00082
-0.06000,-0.02000,-0.08000,-0.04819,-0.00131,0.00082
-0.05000,-0.02000,-0.08000,-0.04827,-0.00143,0.00082
-0.04000,-0.02000,-0.08000,-0.04834,-0.00156,0.00082
-0.03000,-0.02000,-0.08000,-0.04839,-0.00167,0.00081
-0.02000,-0.02000,-0.08000,-0.04842,-0.00180,0.00083
-0.01000,-0.02000,-0.08000,-0.04842,-0.00192,0.00085
-0.00000,-0.02000,-0.08000,-0.04842,-0.00204,0.00086
0.01000,-0.02000,-0.08000,-0.04838,-0.00217,0.00089
0.02000,-0.02000,-0.08000,-0.04833,-0.00228,0.00093
0.03000,-0.02000,-0.08000,-0.04827,-0.00239,0.00096
0.04000,-0.02000,-0.08000,-0.04818,-0.00250,0.00100
0.05000,-0.02000,-0.08000,-0.04809,-0.00259,0.00104
0.06000,-0.02000,-0.08000,-0.04798,-0.00270,0.00108
0.07000,-0.02000,-0.08000,-0.04787,-0.00281,0.00112
0.08000,-0.02000,-0.08000,-0.04774,-0.00297,0.00115
0.08000,-0.01000,-0.08000,-0.04769,-0.00294,0.00099
0.07000,-0.01000,-0.08000,-0.04780,-0.00282,0.00099
0.06000,-0.01000,-0.08000,-0.04791,-0.00272,0.00098
0.05000,-0.01000,-0.08000,-0.04801,-0.00262,0.00095
0.04000,-0.01000,-0.08000,-0.04812,-0.00252,0.00092
0.03000,-0.01000,-0.08000,-0.04819,-0.00241,0.00089
0.02000,-0.01000,-0.08000,-0.04827,-0.00231,0.00085
0.01000,-0.01000,-0.08000,-0.04833,-0.00217,0.00083
0.00000,-0.01000,-0.08000,-0.04836,-0.00205,0.00079
-0.01000,-0.01000,-0.08000,-0.04837,-0.00192,0.00077
-0.02000,-0.01000,-0.08000,-0.04837,-0.00180,0.00075
-0.03000,-0.01000,-0.08000,-0.04833,-0.00166,0.00074
-0.04000,-0.01000,-0.08000,-0.04827,-0.00154,0.00072
-0.05000,-0.01000,-0.08000,-0.04821,-0.00141,0.00071
-0.06000,-0.01000,-0.08000,-0.04813,-0.00130,0.00071
-0.07000,-0.01000,-0.08000,-0.04804,-0.00118,0.00071
-0.08000,-0.01000,-0.08000,-0.04794,-0.00106,0.00070
-0.08000,0.00000,-0.08000,-0.04791,-0.00105,0.00062
-0.07000,0.00000,-0.08000,-0.04800,-0.00117,0.00061
-0.06000,0.00000,-0.08000,-0.04810,-0.00129,0.00061
-0.05000,-0.00000,-0.08000,-0.04817,-0.00140,0.00061
-0.04000,-0.00000,-0.08000,-0.04825,-0.00153,0.00063
-0.03000,-0.00000,-0.08000,-0.04829,-0.00167,0.00065
-0.02000,-0.00000,-0.08000,-0.04832,-0.00180,0.00068
-0.01000,-0.00000,-0.08000,-0.04834,-0.00193,0.00069
0.00000,-0.00000,-0.08000,-0.04832,-0.00206,0.00072
0.01000,-0.00000,-0.08000,-0.04828,-0.00218,0.00074
0.02000,-0.00000,-0.08000,-0.04823,-0.00230,0.00077
0.03000,-0.00000,-0.08000,-0.04815,-0.00242,0.00081
0.04000,-0.00000,-0.08000,-0.04806,-0.00253,0.00082
0.05000,-0.00000,-0.08000,-0.04796,-0.00263,0.00085
0.06000,-0.00000,-0.08000,-0.04785,-0.00272,0.00089
0.07000,-0.00000,-0.08000,-0.04775,-0.00281,0.00090
0.08000,-0.00000,-0.08000,-0.04766,-0.00289,0.00091
0.08000,0.01000,-0.08000,-0.04759,-0.00292,0.00085
0.07000,0.01000,-0.08000,-0.04769,-0.00281,0.00081
0.06000,0.01000,-0.08000,-0.04780,-0.00273,0.00078
0.05000,0.01000,-0.08000,-0.04791,-0.00265,0.00076
0.04000,0.01000,-0.08000,-0.04802,-0.00255,0.00075
0.03000,0.01000,-0.08000,-0.04811,-0.00244,0.00072
0.02000,0.01000,-0.08000,-0.04819,-0.00232,0.00069
0.01000,0.01000,-0.08000,-0.04826,-0.00220,0.00067
0.00000,0.01000,-0.08000,-0.04830,-0.00207,0.00065
-0.01000,0.01000,-0.08000,-0.04831,-0.00194,0.00063
-0.02000,0.01000,-0.08000,-0.04830,-0.00181,0.00060
-0.03000,0.01000,-0.08000,-0.04827,-0.00168,0.00057
-0.04000,0.01000,-0.08000,-0.04822,-0.00154,0.00056
-0.05000,0.01000,-0.08000,-0.04816,-0.00141,0.00053
-0.06000,0.01000,-0.08000,-0.04808,-0.00129,0.00051
-0.07000,0.01000,-0.08000,-0.04798,-0.00115,0.00051
-0.08000,0.01000,-0.08000,-0.04788,-0.00102,0.00051
-0.08000,0.02000,-0.08000,-0.04787,-0.00101,0.00036
-0.07000,0.02000,-0.08000,-0.04798,-0.00116,0.00039
-0.06000,0.02000,-0.08000,-0.04807,-0.00130,0.00041
-0.05000,0.02000,-0.08000,-0.04816,-0.00142,0.00044
-0.04000,0.02000,-0.08000,-0.04822,-0.00155,0.00047
-0.03000,0.02000,-0.08000,-0.04826,-0.00168,0.00050
-0.02000,0.02000,-0.08000,-0.04829,-0.00181,0.00052
-0.01000,0.02000,-0.08000,-0.04829,-0.00194,0.00056
0.00000,0.02000,-0.08000,-0.04827,-0.00207,0.00057
0.01000,0.02000,-0.08000,-0.04824,-0.00220,0.00059
0.02000,0.02000,-0.08000,-0.04817,-0.00232,0.00062
0.03000,0.02000,-0.08000,-0.04809,-0.00244,0.00065
0.04000,0.02000,-0.08000,-0.04800,-0.00254,0.00066
0.05000,0.02000,-0.08000,-0.04789,-0.00264,0.00067
0.06000,0.02000,-0.08000,-0.04777,-0.00274,0.00067
0.07000,0.02000,-0.08000,-0.04766,-0.00283,0.00068
0.08000,0.02000,-0.08000,-0.04754,-0.00294,0.00069
0.08000,0.03000,-0.08000,-0.04757,-0.00287,0.00053
0.07000,0.03000,-0.08000,-0.04767,-0.00280,0.00056
0.06000,0.03000,-0.08000,-0.04778,-0.00272,0.00058
0.05000,0.03000,-0.08000,-0.04789,-0.00265,0.00057
0.04000,0.03000,-0.08000,-0.04799,-0.00255,0.00056
0.03000,0.03000,-0.08000,-0.04808,-0.00245,0.00056
0.02000,0.03000,-0.08000,-0.04816,-0.00233,0.00055
0.01000,0.03000,-0.08000,-0.04823,-0.00221,0.00053
0.00000,0.03000,-0.08000,-0.04827,-0.00209,0.00051
-0.01000,0.03000,-0.08000,-0.04829,-0.00196,0.00048
-0.02000,0.03000,-0.08000,-0.04828,-0.00183,0.00046
-0.03000,0.03000,-0.08000,-0.04826,-0.00170,0.00044
-0.04000,0.03000,-0.08000,-0.04822,-0.00157,0.00040
-0.05000,0.03000,-0.08000,-0.04816,-0.00144,0.00036
-0.06000,0.03000,-0.08000,-0.04809,-0.00131,0.00032
-0.07000,0.03000,-0.08000,-0.04800,-0.00118,0.00029
-0.08000,0.03000,-0.08000,-0.04790,-0.00105,0.00023
-0.08000,0.04000,-0.08000,-0.04795,-0.00108,0.00018
-0.07000,0.04000,-0.08000,-0.04803,-0.00121,0.00021
-0.06000,0.04000,-0.08000,-0.04811,-0.00134,0.00025
-0.05000,0.04000,-0.08000,-0.04817,-0.00147,0.00029
-0.04000,0.04000,-0.08000,-0.04823,-0.00159,0.00033
-0.03000,0.04000,-0.08000,-0.04827,-0.00171,0.00036
-0.02000,0.04000,-0.08000,-0.04828,-0.00184,0.00040
-0.01000,0.04000,-0.08000,-0.04829,-0.00197,0.00041
0.00000,0.04000,-0.08000,-0.04827,-0.00210,0.00044
0.01000,0.04000,-0.08000,-0.04823,-0.00221,0.00045
0.02000,0.04000,-0.08000,-0.04816,-0.00232,0.00047
0.03000,0.04000,-0.08000,-0.04809,-0.00244,0.00048
0.04000,0.04000,-0.08000,-0.04799,-0.00253,0.00049
0.05000,0.04000,-0.08000,-0.04789,-0.00264,0.00049
0.06000,0.04000,-0.08000,-0.04779,-0.00271,0.00050
0.07000,0.04000,-0.08000,-0.04769,-0.00278,0.00051
0.08000,0.04000,-0.08000,-0.04763,-0.00282,0.00052
0.07000,0.05000,-0.08000,-0.04768,-0.00281,0.00045
0.06000,0.05000,-0.08000,-0.04779,-0.00273,0.00040
0.05000,0.05000,-0.08000,-0.04791,-0.00264,0.00040
0.04000,0.05000,-0.08000,-0.04801,-0.00254,0.00039
0.03000,0.05000,-0.08000,-0.04810,-0.00244,0.00039
0.02000,0.05000,-0.08000,-0.04818,-0.00233,0.00039
0.01000,0.05000,-0.08000,-0.04823,-0.00221,0.00039
0.00000,0.05000,-0.08000,-0.04827,-0.00210,0.00037
-0.01000,0.05000,-0.08000,-0.04829,-0.00198,0.00035
-0.02000,0.05000,-0.08000,-0.04830,-0.00185,0.00033
-0.03000,0.05000,-0.08000,-0.04828,-0.00173,0.00030
-0.04000,0.05000,-0.08000,-0.04825,-0.00161,0.00026
-0.05000,0.05000,-0.08000,-0.04820,-0.00148,0.00022
-0.06000,0.05000,-0.08000,-0.04813,-0.00136,0.00018
-0.07000,0.05000,-0.08000,-0.04804,-0.00124,0.00014
-0.06000,0.06000,-0.08000,-0.04817,-0.00141,0.00010
-0.05000,0.06000,-0.08000,-0.04823,-0.00152,0.00015
-0.04000,0.06000,-0.08000,-0.04828,-0.00164,0.00020
-0.03000,0.06000,-0.08000,-0.04831,-0.00175,0.00024
-0.02000,0.06000,-0.08000,-0.04832,-0.00187,0.00026
-0.01000,0.06000,-0.08000,-0.04831,-0.00199,0.00030
0.00000,0.06000,-0.08000,-0.04829,-0.00209,0.00032
0.01000,0.06000,-0.08000,-0.04825,-0.00220,0.00032
0.02000,0.06000,-0.08000,-0.04821,-0.00231,0.00032
0.03000,0.06000,-0.08000,-0.04814,-0.00241,0.00032
0.04000,0.06000,-0.08000,-0.04805,-0.00252,0.00030
0.05000,0.06000,-0.08000,-0.04794,-0.00263,0.00029
0.06000,0.06000,-0.08000,-0.04782,-0.00271,0.00028
0.05000,0.07000,-0.08000,-0.04804,-0.00258,0.00020
0.04000,0.07000,-0.08000,-0.04812,-0.00249,0.00023
0.03000,0.07000,-0.08000,-0.04819,-0.00239,0.00026
0.02000,0.07000,-0.08000,-0.04824,-0.00229,0.00026
0.01000,0.07000,-0.08000,-0.04830,-0.00219,0.00027
0.00000,0.07000,-0.08000,-0.04832,-0.00208,0.00026
-0.01000,0.07000,-0.08000,-0.04834,-0.00199,0.00024
-0.02000,0.07000,-0.08000,-0.04835,-0.00189,0.00023
-0.03000,0.07000,-0.08000,-0.04835,-0.00178,0.00019
-0.04000,0.07000,-0.08000,-0.04833,-0.00166,0.00016
-0.05000,0.07000,-0.08000,-0.04830,-0.00157,0.00012
-0.03000,0.08000,-0.08000,-0.04838,-0.00180,0.00020
-0.02000,0.08000,-0.08000,-0.04838,-0.00189,0.00022
-0.01000,0.08000,-0.08000,-0.04838,-0.00198,0.00023
0.00000,0.08000,-0.08000,-0.04835,-0.00209,0.00024
0.01000,0.08000,-0.08000,-0.04833,-0.00219,0.00026
0.02000,0.08000,-0.08000,-0.04829,-0.00228,0.00026
0.03000,0.08000,-0.08000,-0.04824,-0.00237,0.00026
0.04000,0.08000,-0.08000,-0.04819,-0.00245,0.00026
-0.03000,0.09000,-0.07000,-0.04831,-0.00180,0.00020
-0.02000,0.09000,-0.07000,-0.04832,-0.00190,0.00022
-0.01000,0.09000,-0.07000,-0.04832,-0.00198,0.00023
0.00000,0.09000,-0.07000,-0.04831,-0.00206,0.00024
0.01000,0.09000,-0.07000,-0.04828,-0.00214,0.00025
0.02000,0.09000,-0.07000,-0.04824,-0.00223,0.00024
0.03000,0.09000,-0.07000,-0.04818,-0.00231,0.00026
0.05000,0.08000,-0.07000,-0.04805,-0.00247,0.00030
0.04000,0.08000,-0.07000,-0.04811,-0.00240,0.00029
0.03000,0.08000,-0.07000,-0.04817,-0.00232,0.00028
0.02000,0.08000,-0.07000,-0.04822,-0.00223,0.00029
0.01000,0.08000,-0.07000,-0.04826,-0.00215,0.00028
0.00000,0.08000,-0.07000,-0.04829,-0.00206,0.00027
-0.01000,0.08000,-0.07000,-0.04831,-0.00198,0.00026
-0.02000,0.08000,-0.07000,-0.04831,-0.00188,0.00024
-0.03000,0.08000,-0.07000,-0.04830,-0.00179,0.00022
-0.04000,0.08000,-0.07000,-0.04828,-0.00171,0.00021
-0.05000,0.08000,-0.07000,-0.04825,-0.00162,0.00019
-0.06000,0.07000,-0.07000,-0.04817,-0.00152,0.00013
-0.05000,0.07000,-0.07000,-0.04822,-0.00161,0.00018
-0.04000,0.07000,-0.07000,-0.04826,-0.00170,0.00022
-0.03000,0.07000,-0.07000,-0.04827,-0.00179,0.00023
-0.02000,0.07000,-0.07000,-0.04829,-0.00188,0.00026
-0.01000,0.07000,-0.07000,-0.04828,-0.00198,0.00028
0.00000,0.07000,-0.07000,-0.04827,-0.00207,0.00030
0.01000,0.07000,-0.07000,-0.04824,-0.00215,0.00031
0.02000,0.07000,-0.07000,-0.04819,-0.00224,0.00031
0.03000,0.07000,-0.07000,-0.04813,-0.00233,0.00031
0.04000,0.07000,-0.07000,-0.04807,-0.00242,0.00031
0.05000,0.07000,-0.07000,-0.04800,-0.00249,0.00030
0.06000,0.07000,-0.07000,-0.04791,-0.00255,0.00027
0.07000,0.06000,-0.07000,-0.04772,-0.00271,0.00031
0.06000,0.06000,-0.07000,-0.04784,-0.00260,0.00033
0.05000,0.06000,-0.07000,-0.04794,-0.00251,0.00035
0.04000,0.06000,-0.07000,-0.04803,-0.00243,0.00035
0.03000,0.06000,-0.07000,-0.04810,-0.00235,0.00035
0.02000,0.06000,-0.07000,-0.04816,-0.00225,0.00035
0.01000,0.06000,-0.07000,-0.04821,-0.00216,0.00035
0.00000,0.06000,-0.07000,-0.04824,-0.00207,0.00034
-0.01000,0.06000,-0.07000,-0.04826,-0.00199,0.00033
-0.02000,0.06000,-0.07000,-0.04826,-0.00187,0.00030
-0.03000,0.06000,-0.07000,-0.04825,-0.00177,0.00028
-0.04000,0.06000,-0.07000,-0.04822,-0.00168,0.00025
-0.05000,0.06000,-0.07000,-0.04817,-0.00158,0.00021
-0.06000,0.06000,-0.07000,-0.04812,-0.00147,0.00015
-0.07000,0.06000,-0.07000,-0.04803,-0.00137,0.00010
-0.08000,0.05000,-0.07000,-0.04788,-0.00119,0.00014
-0.07000,0.05000,-0.07000,-0.04799,-0.00133,0.00017
-0.06000,0.05000,-0.07000,-0.04807,-0.00144,0.00020
-0.05000,0.05000,-0.07000,-0.04814,-0.00155,0.00027
-0.04000,0.05000,-0.07000,-0.04819,-0.00166,0.00028
-0.03000,0.05000,-0.07000,-0.04823,-0.00175,0.00032
-0.02000,0.05000,-0.07000,-0.04824,-0.00187,0.00034
-0.01000,0.05000,-0.07000,-0.04824,-0.00196,0.00036
0.00000,0.05000,-0.07000,-0.04822,-0.00207,0.00039
0.01000,0.05000,-0.07000,-0.04819,-0.00216,0.00040
0.02000,0.05000,-0.07000,-0.04814,-0.00226,0.00041
0.03000,0.05000,-0.07000,-0.04807,-0.00237,0.00042
0.04000,0.05000,-0.07000,-0.04799,-0.00245,0.00042
0.05000,0.05000,-0.07000,-0.04790,-0.00254,0.00042
0.06000,0.05000,-0.07000,-0.04780,-0.00262,0.00042
0.07000,0.05000,-0.07000,-0.04769,-0.00270,0.00043
0.08000,0.05000,-0.07000,-0.04756,-0.00283,0.00047
0.08000,0.04000,-0.07000,-0.04758,-0.00278,0.00053
0.07000,0.04000,-0.07000,-0.04768,-0.00269,0.00052
0.06000,0.04000,-0.07000,-0.04778,-0.00262,0.00051
0.05000,0.04000,-0.07000,-0.04789,-0.00254,0.00050
0.04000,0.04000,-0.07000,-0.04798,-0.00245,0.00049
0.03000,0.04000,-0.07000,-0.04806,-0.00236,0.00048
0.02000,0.04000,-0.07000,-0.04813,-0.00227,0.00047
0.01000,0.04000,-0.07000,-0.04818,-0.00217,0.00046
0.00000,0.04000,-0.07000,-0.04822,-0.00206,0.00044
-0.01000,0.04000,-0.07000,-0.04823,-0.00195,0.00042
-0.02000,0.04000,-0.07000,-0.04823,-0.00185,0.00041
-0.03000,0.04000,-0.07000,-0.04822,-0.00174,0.00038
-0.04000,0.04000,-0.07000,-0.04818,-0.00163,0.00035
-0.05000,0.04000,-0.07000,-0.04812,-0.00152,0.00032
-0.06000,0.04000,-0.07000,-0.04805,-0.00141,0.00028
-0.07000,0.04000,-0.07000,-0.04798,-0.00130,0.00024
-0.08000,0.04000,-0.07000,-0.04787,-0.00118,0.00020
-0.09000,0.03000,-0.07000,-0.04773,-0.00102,0.00023
-0.08000,0.03000,-0.07000,-0.04785,-0.00116,0.00028
-0.07000,0.03000,-0.07000,-0.04796,-0.00129,0.00031
-0.06000,0.03000,-0.07000,-0.04804,-0.00140,0.00036
-0.05000,0.03000,-0.07000,-0.04811,-0.00151,0.00039
-0.04000,0.03000,-0.07000,-0.04817,-0.00163,0.00040
-0.03000,0.03000,-0.07000,-0.04821,-0.00173,0.00044
-0.02000,0.03000,-0.07000,-0.04824,-0.00185,0.00047
-0.01000,0.03000,-0.07000,-0.04823,-0.00195,0.00048
0.00000,0.03000,-0.07000,-0.04822,-0.00207,0.00050
0.01000,0.03000,-0.07000,-0.04818,-0.00217,0.00052
0.02000,0.03000,-0.07000,-0.04813,-0.00228,0.00054
0.03000,0.03000,-0.07000,-0.04806,-0.00236,0.00055
0.04000,0.03000,-0.07000,-0.04798,-0.00246,0.00057
0.05000,0.03000,-0.07000,-0.04788,-0.00255,0.00057
0.06000,0.03000,-0.07000,-0.04778,-0.00262,0.00058
0.07000,0.03000,-0.07000,-0.04767,-0.00270,0.00057
0.08000,0.03000,-0.07000,-0.04757,-0.00279,0.00058
0.09000,0.03000,-0.07000,-0.04746,-0.00289,0.00052
0.09000,0.02000,-0.07000,-0.04742,-0.00297,0.00067
0.08000,0.02000,-0.07000,-0.04756,-0.00283,0.00067
0.07000,0.02000,-0.07000,-0.04768,-0.00272,0.00068
0.06000,0.02000,-0.07000,-0.04779,-0.00262,0.00065
0.05000,0.02000,-0.07000,-0.04789,-0.00254,0.00065
0.04000,0.02000,-0.07000,-0.04799,-0.00246,0.00065
0.03000,0.02000,-0.07000,-0.04807,-0.00235,0.00062
0.02000,0.02000,-0.07000,-0.04814,-0.00228,0.00060
0.01000,0.02000,-0.07000,-0.04819,-0.00217,0.00059
0.00000,0.02000,-0.07000,-0.04823,-0.00205,0.00057
-0.01000,0.02000,-0.07000,-0.04824,-0.00194,0.00055
-0.02000,0.02000,-0.07000,-0.04823,-0.00183,0.00052
-0.03000,0.02000,-0.07000,-0.04821,-0.00172,0.00050
-0.04000,0.02000,-0.07000,-0.04817,-0.00161,0.00048
-0.05000,0.02000,-0.07000,-0.04811,-0.00149,0.00045
-0.06000,0.02000,-0.07000,-0.04804,-0.00138,0.00043
-0.07000,0.02000,-0.07000,-0.04794,-0.00126,0.00040
-0.08000,0.02000,-0.07000,-0.04784,-0.00114,0.00037
-0.09000,0.02000,-0.07000,-0.04771,-0.00100,0.00036
-0.09000,0.01000,-0.07000,-0.04773,-0.00101,0.00050
-0.08000,0.01000,-0.07000,-0.04785,-0.00113,0.00048
-0.07000,0.01000,-0.07000,-0.04796,-0.00126,0.00048
-0.06000,0.01000,-0.07000,-0.04805,-0.00138,0.00051
-0.05000,0.01000,-0.07000,-0.04813,-0.00150,0.00052
-0.04000,0.01000,-0.07000,-0.04818,-0.00161,0.00054
-0.03000,0.01000,-0.07000,-0.04823,-0.00171,0.00056
-0.02000,0.01000,-0.07000,-0.04826,-0.00182,0.00058
-0.01000,0.01000,-0.07000,-0.04826,-0.00194,0.00061
0.00000,0.01000,-0.07000,-0.04824,-0.00206,0.00063
0.01000,0.01000,-0.07000,-0.04821,-0.00215,0.00065
0.02000,0.01000,-0.07000,-0.04816,-0.00226,0.00067
0.03000,0.01000,-0.07000,-0.04809,-0.00236,0.00068
0.04000,0.01000,-0.07000,-0.04801,-0.00245,0.00071
0.05000,0.01000,-0.07000,-0.04791,-0.00254,0.00073
0.06000,0.01000,-0.07000,-0.04781,-0.00263,0.00075
0.07000,0.01000,-0.07000,-0.04770,-0.00272,0.00076
0.08000,0.01000,-0.07000,-0.04759,-0.00282,0.00080
0.09000,0.01000,-0.07000,-0.04746,-0.00294,0.00081
0.09000,-0.00000,-0.07000,-0.04752,-0.00292,0.00086
0.08000,-0.00000,-0.07000,-0.04763,-0.00281,0.00086
0.07000,-0.00000,-0.07000,-0.04775,-0.00272,0.00086
0.06000,-0.00000,-0.07000,-0.04785,-0.00261,0.00083
0.05000,-0.00000,-0.07000,-0.04795,-0.00253,0.00080
0.04000,-0.00000,-0.07000,-0.04805,-0.00245,0.00080
0.03000,-0.00000,-0.07000,-0.04813,-0.00235,0.00076
0.02000,-0.00000,-0.07000,-0.04819,-0.00225,0.00073
0.01000,-0.00000,-0.07000,-0.04825,-0.00214,0.00072
0.00000,-0.00000,-0.07000,-0.04828,-0.00205,0.00069
-0.01000,-0.00000,-0.07000,-0.04829,-0.00192,0.00067
-0.02000,-0.00000,-0.07000,-0.04828,-0.00181,0.00065
-0.03000,-0.00000,-0.07000,-0.04825,-0.00171,0.00062
-0.04000,-0.00000,-0.07000,-0.04821,-0.00159,0.00061
-0.05000,-0.00000,-0.07000,-0.04815,-0.00149,0.00060
-0.06000,-0.00000,-0.07000,-0.04807,-0.00138,0.00059
-0.07000,0.00000,-0.07000,-0.04798,-0.00126,0.00057
-0.08000,0.00000,-0.07000,-0.04788,-0.00116,0.00057
-0.09000,0.00000,-0.07000,-0.04778,-0.00103,0.00059
-0.09000,-0.01000,-0.07000,-0.04782,-0.00105,0.00068
-0.08000,-0.01000,-0.07000,-0.04792,-0.00117,0.00067
-0.07000,-0.01000,-0.07000,-0.04803,-0.00128,0.00067
-0.06000,-0.01000,-0.07000,-0.04811,-0.00139,0.00067
-0.05000,-0.01000,-0.07000,-0.04819,-0.00149,0.00068
-0.04000,-0.01000,-0.07000,-0.04825,-0.00160,0.00068
-0.03000,-0.01000,-0.07000,-0.04829,-0.00171,0.00070
-0.02000,-0.01000,-0.07000,-0.04832,-0.00181,0.00072
-0.01000,-0.01000,-0.07000,-0.04833,-0.00192,0.00073
-0.00000,-0.01000,-0.07000,-0.04831,-0.00203,0.00076
