x[m],y[m],z[m],dirx[m^2A],diry[m^2A],dirz[m^2A],rotation_xy[rad]
-0.1755,0.0308,-0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.0461,-0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.0961,-0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.1104,-0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.1244,-0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.1380,-0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.1512,-0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.1638,-0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.1760,-0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.2126,-0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.2221,-0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.2309,-0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.2390,-0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.2464,-0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.2529,-0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.1755,0.2587,-0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2721,-0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2743,-0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2756,-0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2760,0.0000,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2756,0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2743,0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2721,0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2587,0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2529,0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2464,0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2390,0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2309,0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2221,0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2126,0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1760,0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1638,0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1512,0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1380,0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1244,0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1104,0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0961,0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0461,0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0308,0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0154,0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0000,0.2760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0154,0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0308,0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0461,0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0961,0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1104,0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1244,0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1380,0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1512,0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1638,0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1760,0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2126,0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2221,0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2309,0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2390,0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2464,0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2529,0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2587,0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2721,0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2743,0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2756,0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2760,0.0000,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2756,-0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2743,-0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2721,-0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2587,-0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2529,-0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2464,-0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2390,-0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2309,-0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2221,-0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.2126,-0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1760,-0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1638,-0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1512,-0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1380,-0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1244,-0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.1104,-0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0961,-0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0461,-0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0308,-0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0154,-0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,-0.0000,-0.2760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0154,-0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0308,-0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0461,-0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.0961,-0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1104,-0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1244,-0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1380,-0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1512,-0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1638,-0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.1760,-0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2126,-0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2221,-0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2309,-0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2390,-0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2464,-0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2529,-0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
-0.0585,0.2587,-0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2721,-0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2743,-0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2756,-0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2760,0.0000,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2756,0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2743,0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2721,0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2587,0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2529,0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2464,0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2390,0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2309,0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2221,0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2126,0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1760,0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1638,0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1512,0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1380,0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1244,0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1104,0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0961,0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0461,0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0308,0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0154,0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0000,0.2760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0154,0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0308,0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0461,0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0961,0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1104,0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1244,0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1380,0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1512,0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1638,0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1760,0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2126,0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2221,0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2309,0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2390,0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2464,0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2529,0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2587,0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2721,0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2743,0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2756,0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2760,0.0000,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2756,-0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2743,-0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2721,-0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2587,-0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2529,-0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2464,-0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2390,-0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2309,-0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2221,-0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.2126,-0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1760,-0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1638,-0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1512,-0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1380,-0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1244,-0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.1104,-0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0961,-0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0461,-0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0308,-0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0154,-0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,-0.0000,-0.2760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0154,-0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0308,-0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0461,-0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.0961,-0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1104,-0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1244,-0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1380,-0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1512,-0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1638,-0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.1760,-0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2126,-0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2221,-0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2309,-0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2390,-0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2464,-0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2529,-0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.0585,0.2587,-0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2721,-0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2743,-0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2756,-0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2760,0.0000,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2756,0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2743,0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2721,0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2587,0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2529,0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2464,0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2390,0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2309,0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2221,0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.2126,0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.1760,0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.1638,0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.1512,0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.1380,0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.1244,0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.1104,0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.0961,0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.0461,0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.0308,0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.0154,0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,0.0000,0.2760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.0154,0.2756,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.0308,0.2743,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.0461,0.2721,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.0961,0.2587,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.1104,0.2529,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.1244,0.2464,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.1380,0.2390,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.1512,0.2309,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.1638,0.2221,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.1760,0.2126,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2126,0.1760,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2221,0.1638,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2309,0.1512,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2390,0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2464,0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2529,0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2587,0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2721,0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2743,0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2756,0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2760,0.0000,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2756,-0.0154,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2743,-0.0308,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2721,-0.0461,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2587,-0.0961,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2529,-0.1104,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2464,-0.1244,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
0.1755,-0.2390,-0.1380,0.0000e+00,1.0000e+00,0.0000e+00,0.0000
